date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:25:24	100084/100084	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2014:25:24%20GMT	https://yewtu.be/feed/trending	httrack_yewtu.be/yewtu.be/feed/trending.html	(from )
15:25:24	48/48	---M--	200	added ('OK')	text/plain	etag:W/%221608107196%22	https://yewtu.be/robots.txt		(from )
15:25:25	49017/49017	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2014:25:25%20GMT	https://yewtu.be/feed/popular	httrack_yewtu.be/yewtu.be/feed/popular.html	(from https://yewtu.be/feed/trending)
15:25:27	40105/40105	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2014:25:27%20GMT	https://yewtu.be/feed/trending?type=Music&region=US	httrack_yewtu.be/yewtu.be/feed/trending46b7.html	(from https://yewtu.be/feed/trending)
15:25:28	40004/40004	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2014:25:28%20GMT	https://yewtu.be/feed/trending?type=Gaming&region=US	httrack_yewtu.be/yewtu.be/feed/trending77f9.html	(from https://yewtu.be/feed/trending)
15:25:29	24972/24972	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2014:25:29%20GMT	https://yewtu.be/feed/trending?type=News&region=US	httrack_yewtu.be/yewtu.be/feed/trending938e.html	(from https://yewtu.be/feed/trending)
15:26:31	40379/40379	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2014:26:31%20GMT	https://yewtu.be/feed/trending?type=Movies&region=US	httrack_yewtu.be/yewtu.be/feed/trendingbc7c.html	(from https://yewtu.be/feed/trending)
15:26:32	100177/100177	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2014:26:32%20GMT	https://yewtu.be/feed/trending?type=Default&region=US	httrack_yewtu.be/yewtu.be/feed/trending6333.html	(from https://yewtu.be/feed/trending?type=Music&region=US)
